(p26, o0, 6)
(p26, o5, 4)
(p15, o47, 10)
(p84, o38, 7)
(p2, o27, 10)
(p84, o27, 2)
(p28, o44, 4)
(p40, o6, 9)
(p6, o26, 12)
(p6, o49, 12)
(p11, o46, 7)
(p64, o4, 10)
(p23, o30, 7)
(p81, o36, 8)
(p41, o42, 10)
(p64, o14, 10)
(p36, o42, 5)
(p20, o12, 5)
(p71, o7, 5)
(p75, o18, 6)
(p91, o15, 5)
(p71, o45, 6)
(p91, o45, 5)
(p33, o2, 6)
(p60, o40, 8)
(p19, o13, 4)
(p19, o16, 5)
(p83, o29, 10)
(p72, o1, 11)
(p72, o32, 6)
(p35, o8, 10)
(p62, o19, 11)
(p91, o11, 18)
(p99, o23, 5)
(p21, o34, 7)
(p86, o33, 6)
(p21, o5, 3)
(p34, o28, 11)
(p83, o10, 10)
(p95, o10, 1)
(p75, o19, 1)
(p44, o43, 6)
(p44, o3, 6)
(p4, o31, 10)
(p3, o21, 5)
(p3, o3, 5)
(p70, o37, 6)
(p9, o25, 5)
(p13, o20, 5)
(p89, o9, 4)
(p27, o35, 5)
(p82, o48, 5)
(p87, o22, 3)
(p77, o24, 7)
(p59, o39, 4)
(p30, o17, 6)
(p81, o41, 4)
(p23, o41, 2)
